New Run at  02/01/2016 09:16:48
, Time, RandomReward; CFUCBReward; 
data,1288575094000,18;67940;25
data,1287667573000,19;76226;26
data,1256467761000,19;68781;26
data,1232497718000,19;48658;26
data,1285925467000,19;87574;26
data,1267558990000,19;14487;26
data,1287194689000,19;92645;26
data,1214311889000,19;93119;26
data,1240677955000,19;52321;26
data,1286498141000,19;86004;26
data,1276239499000,19;71310;26
data,1277917246000,19;73868;26
data,1112918687000,19;89364;26
data,1286201402000,19;72531;26
data,1283370553000,19;8162;26
data,1288423128000,19;57827;26
data,1279852151000,19;23686;26
data,1258335911000,19;53770;26
data,1284386927000,19;32245;26
data,1259611165000,19;31981;26
data,1285944700000,19;69264;26
data,1285231843000,19;86368;26
data,1268761602000,19;67354;26
data,1262645346000,19;102979;26
data,1210012686000,20;9325;26
data,1279202479000,20;71769;26
data,1287934554000,20;60151;26
data,1285200679000,20;50534;26
data,1278429142000,20;64743;26
data,1287097034000,20;89379;26
data,1286134048000,20;6001;26
data,1286210736000,20;13758;26
data,1285221122000,20;73701;26
data,1286258618000,20;64010;26
data,1266339614000,20;41509;26
data,1283893154000,20;86350;26
data,1239067821000,20;80409;26
data,1223668988000,20;67360;26
data,1210754762000,20;42071;26
data,1288291448000,20;40952;26
data,1272731108000,20;1939;26
data,1256474821000,20;98586;26
data,1284401818000,20;84451;26
data,1286393666000,20;67116;26
data,1216317732000,20;41973;26
data,1286369944000,20;75763;26
data,1224765340000,20;30154;26
data,1278148960000,20;72811;26
data,1285101653000,20;26151;26
data,1271441397000,20;102970;26
data,1261517110000,20;58363;26
data,1285875573000,20;83114;26
data,1285750678000,20;67331;26
data,1247240078000,20;38570;26
data,1276056328000,20;90336;26
data,1282351292000,20;4647;26
data,1285011149000,20;69635;26
data,1287843369000,20;103243;26
data,1263892537000,21;64567;26
data,1288262543000,21;52122;26
data,1289271632000,21;93244;26
data,1211558610000,21;6910;27
data,1260027065000,21;67162;27
data,1281414099000,21;31146;27
data,1289164869000,21;97054;27
data,1269352429000,21;78657;27
data,1266961205000,21;79380;27
data,1267125547000,21;102310;27
data,1287233417000,21;21324;28
data,1254498675000,21;80686;28
data,1279463937000,21;48542;28
data,1195053293000,21;41971;28
data,1285134159000,21;37458;28
data,1279033450000,21;38371;28
data,1259136441000,21;52652;28
data,1286863364000,21;14488;28
data,1285983523000,21;33445;28
data,1262683371000,21;57431;28
data,1281204362000,21;99183;28
data,1219378805000,21;36613;28
data,1253544720000,21;104248;28
data,1285008659000,21;29129;28
data,1284985378000,21;100821;28
data,1272620263000,21;98444;28
data,1280865820000,21;101368;28
data,1283187827000,21;50243;28
data,1287856614000,21;54742;28
data,1269456649000,21;16223;28
data,1248336154000,21;71829;28
data,1286225540000,21;103977;28
data,1263762882000,21;25186;28
data,1280128960000,21;83534;28
data,1281712011000,21;17528;28
data,1251302335000,22;38127;28
data,1251128287000,22;101956;28
data,1287475370000,22;54134;28
data,1288538840000,22;30831;28
data,1288032858000,22;10424;28
data,1275849860000,22;19457;28
data,1269032775000,22;79079;28
data,1268066767000,22;79791;28
data,1271858255000,22;50751;28
data,1279837540000,22;97784;28
data,1270584905000,22;49923;28
data,1251394459000,22;81778;28
data,1270708204000,22;76314;28
data,1260225050000,22;26355;29
data,1284442944000,22;74802;29
data,1269304229000,22;36625;29
data,1223281810000,22;84350;29
data,1283014236000,22;25998;29
data,1287761657000,22;51661;29
data,1231351832000,22;48953;29
data,1216313414000,22;2070;29
data,1288723805000,22;84386;29
data,1274935850000,22;44562;29
